City,State,Latitude,Longitude,Place
New York,NY,40.66,-73.94,1
Los Angeles,CA,34.02,-118.41,2
Chicago,IL,41.84,-87.68,3
Houston,TX,29.79,-95.39,4
Phoenix,AZ,33.57,-112.09,5
Philadelphia,PA,40.01,-75.13,6
San Antonio,TX,29.46,-98.52,7
San Diego,CA,32.81,-117.14,8
Dallas,TX,32.79,-96.77,9
Jacksonville,FL,30.34,-81.66,10
Austin,TX,30.3,-97.75,11
Fort Worth,TX,32.78,-97.35,12
San Jose,CA,37.3,-121.81,13
Columbus,OH,39.99,-82.99,14
Charlotte,NC,35.21,-80.83,15
Indianapolis,IN,39.78,-86.15,16
San Francisco,CA,37.73,-123.03,17
Seattle,WA,47.62,-122.35,18
Denver,CO,39.76,-104.88,19
Oklahoma City,OK,35.47,-97.51,20
Nashville,TN,36.17,-86.79,21
Washington,DC,38.9,-77.02,22
El Paso,TX,31.85,-106.43,23
Las Vegas,NV,36.23,-115.26,24
Boston,MA,42.34,-71.02,25
Detroit,MI,42.38,-83.1,26
Portland,OR,45.54,-122.65,27
Louisville,KY,38.17,-85.65,28
Memphis,TN,35.11,-89.97,29
Baltimore,MD,39.3,-76.61,30
Milwaukee,WI,43.06,-87.97,31
Albuquerque,NM,35.1,-106.65,32
Tucson,AZ,32.15,-110.87,33
Fresno,CA,36.78,-119.79,34
Sacramento,CA,38.57,-121.47,35
Mesa,AZ,33.4,-111.72,36
Atlanta,GA,33.76,-84.42,37
Kansas City,MO,39.12,-94.56,38
Colorado Springs,CO,38.87,-104.76,39
Omaha,NE,41.26,-96.05,40
Raleigh,NC,35.83,-78.64,41
Miami,FL,25.78,-80.21,42
Virginia Beach,VA,36.78,-76.03,43
Long Beach,CA,33.78,-118.17,44
Oakland,CA,37.77,-122.23,45
Minneapolis,MN,44.96,-93.27,46
Bakersfield,CA,35.35,-119.04,47
Tulsa,OK,36.13,-95.9,48
Tampa,FL,27.97,-82.47,49
Arlington,TX,32.7,-97.12,50
Wichita,KS,37.69,-97.35,51
Aurora,CO,39.7,-104.72,52
New Orleans,LA,30.05,-89.93,53
Cleveland,OH,41.48,-81.68,54
Honolulu,HI,21.32,-157.85,55
Anaheim,CA,33.86,-117.76,56
Henderson,NV,36.01,-115.04,57
Orlando,FL,28.41,-81.25,58
Lexington,KY,38.04,-84.46,59
Stockton,CA,37.98,-121.31,60
Riverside,CA,33.94,-117.39,61
Corpus Christi,TX,27.75,-97.17,62
Irvine,CA,33.68,-117.77,63
Cincinnati,OH,39.14,-84.51,64
Santa Ana,CA,33.74,-117.88,65
Newark,NJ,40.72,-74.17,66
Saint Paul,MN,44.95,-93.1,67
Pittsburgh,PA,40.44,-79.98,68
Greensboro,NC,36.1,-79.83,69
Durham,NC,35.98,-78.9,70
Lincoln,NE,40.81,-96.68,71
Jersey City,NJ,40.71,-74.06,72
Plano,TX,33.05,-96.75,73
Anchorage,AK,61.17,-149.28,74
North Las Vegas,NV,36.28,-115.09,75
St. Louis,MO,38.64,-90.24,76
Madison,WI,43.09,-89.43,77
Chandler,AZ,33.28,-111.85,78
Gilbert,AZ,33.31,-111.74,79
Reno,NV,39.55,-119.85,80
Buffalo,NY,42.89,-78.86,81
Chula Vista,CA,32.63,-117.02,82
Fort Wayne,IN,41.09,-85.14,83
Lubbock,TX,33.57,-101.89,84
Toledo,OH,41.66,-83.58,85
St. Petersburg,FL,27.77,-82.64,86
Laredo,TX,27.56,-99.49,87
Irving,TX,32.86,-96.97,88
Chesapeake,VA,36.68,-76.3,89
Glendale,AZ,33.53,-112.19,90
Winston-Salem,NC,36.1,-80.26,91
Port St. Lucie,FL,27.28,-80.39,92
Scottsdale,AZ,33.68,-111.86,93
Garland,TX,32.91,-96.63,94
Boise,ID,43.6,-116.23,95
Norfolk,VA,36.92,-76.24,96
Spokane,WA,47.67,-117.43,97
Richmond,VA,37.53,-77.48,98
Fremont,CA,37.49,-121.94,99
Huntsville,AL,34.78,-86.53,100
Frisco,TX,33.16,-96.82,101
Cape Coral,FL,26.65,-81.99,102
Santa Clarita,CA,34.41,-118.49,103
San Bernardino,CA,34.14,-117.29,104
Tacoma,WA,47.25,-122.46,105
Hialeah,FL,25.87,-80.3,106
